Serial Number:20365150 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","EOF"
2019-09-29 00:49:20,45.28,0, , , 
2019-09-29 01:49:20,43.27,0, , , 
2019-09-29 02:49:20,42.50,0, , , 
2019-09-29 03:49:20,41.11,0, , , 
2019-09-29 04:49:20,46.44,0, , , 
2019-09-29 05:49:20,48.37,0, , , 
2019-09-29 06:49:20,48.52,1, , , 
2019-09-29 07:49:20,48.98,43, , , 
2019-09-29 08:49:20,51.92,330, , , 
2019-09-29 09:49:20,64.04,221, , , 
2019-09-29 10:49:20,67.05,238, , , 
2019-09-29 11:49:20,67.83,93, , , 
2019-09-29 12:49:20,72.69,85, , , 
2019-09-29 13:49:20,77.79,86, , , 
2019-09-29 14:49:20,82.65,106, , , 
2019-09-29 15:49:20,86.44,166, , , 
2019-09-29 16:49:20,88.13,229, , , 
2019-09-29 17:49:20,81.88,65, , , 
2019-09-29 18:49:20,75.55,3, , , 
2019-09-29 19:49:20,72.69,0, , , 
2019-09-29 20:49:20,61.57,0, , , 
2019-09-29 21:49:20,62.65,0, , , 
2019-09-29 22:49:20,61.57,0, , , 
2019-09-29 23:49:20,58.48,0, , , 
2019-09-30 00:49:20,58.71,0, , , 
2019-09-30 01:49:20,55.32,0, , , 
2019-09-30 02:49:20,55.47,0, , , 
2019-09-30 03:49:20,48.29,0, , , 
2019-09-30 04:49:20,44.81,0, , , 
2019-09-30 05:49:20,46.13,0, , , 
2019-09-30 06:49:20,45.59,3, , , 
2019-09-30 07:49:20,52.54,120, , , 
2019-09-30 08:49:20,64.43,244, , , 
2019-09-30 09:49:20,67.36,229, , , 
2019-09-30 10:49:20,68.21,265, , , 
2019-09-30 11:49:20,64.20,100, , , 
2019-09-30 12:49:20,65.66,117, , , 
2019-09-30 13:49:20,66.36,87, , , 
2019-09-30 14:49:20,67.98,101, , , 
2019-09-30 15:49:20,70.14,149, , , 
2019-09-30 16:49:20,73.23,204, , , 
2019-09-30 17:49:20,69.45,88, , , 
2019-09-30 18:49:20,62.42,1, , , 
2019-09-30 19:49:20,59.02,0, , , 
2019-09-30 20:49:20,56.32,0, , , 
2019-09-30 21:49:20,54.85,0, , , 
2019-09-30 22:49:20,53.62,0, , , 
2019-09-30 23:49:20,52.15,0, , , 
