Serial Number:20467371 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2019-09-28 21:51:34,48.67,0, , , , 
2019-09-28 22:51:34,46.74,0, , , , 
2019-09-28 23:51:34,45.59,0, , , , 
2019-09-29 00:51:34,43.73,0, , , , 
2019-09-29 01:51:34,42.19,0, , , , 
2019-09-29 02:51:34,41.72,0, , , , 
2019-09-29 03:51:34,40.80,0, , , , 
2019-09-29 04:51:34,46.59,0, , , , 
2019-09-29 05:51:34,47.90,0, , , , 
2019-09-29 06:51:34,48.44,4, , , , 
2019-09-29 07:51:34,48.91,154, , , , 
2019-09-29 08:51:34,58.87,"3,393", , , , 
2019-09-29 09:51:34,94.78,"5,712", , , , 
2019-09-29 10:51:34,67.59,717, , , , 
2019-09-29 11:51:34,68.60,396, , , , 
2019-09-29 12:51:34,73.77,280, , , , 
2019-09-29 13:51:34,80.18,281, , , , 
2019-09-29 14:51:34,85.51,893, , , , 
2019-09-29 15:51:34,101.57,773, , , , 
2019-09-29 16:51:34,99.25,932, , , , 
2019-09-29 17:51:34,84.89,184, , , , 
2019-09-29 18:51:34,74.54,7, , , , 
2019-09-29 19:51:34,70.06,0, , , , 
2019-09-29 20:51:34,60.88,0, , , , 
2019-09-29 21:51:34,63.81,0, , , , 
2019-09-29 22:51:34,61.96,0, , , , 
2019-09-29 23:51:34,56.32,0, , , , 
2019-09-30 00:51:34,57.56,0, , , , 
2019-09-30 01:51:34,53.85,0, , , , 
2019-09-30 02:51:34,54.85,0, , , , 
2019-09-30 03:51:34,46.51,0, , , , 
2019-09-30 04:51:34,44.43,0, , , , 
2019-09-30 05:51:34,45.74,0, , , , 
2019-09-30 06:51:34,45.82,12, , , , 
2019-09-30 07:51:34,59.25,505, , , , 
2019-09-30 08:51:34,74.93,"2,001", , , , 
2019-09-30 09:51:34,93.93,"5,200", , , , 
2019-09-30 10:51:34,67.28,393, , , , 
2019-09-30 11:51:34,64.66,344, , , , 
2019-09-30 12:51:34,67.28,487, , , , 
2019-09-30 13:51:34,67.90,434, , , , 
2019-09-30 14:51:34,70.53,627, , , , 
2019-09-30 15:51:34,87.90,"1,832", , , , 
2019-09-30 16:51:34,80.88,591, , , , 
2019-09-30 17:51:34,72.61,269, , , , 
2019-09-30 18:51:34,62.27,2, , , , 
2019-09-30 19:51:34,58.40,0, , , , 
2019-09-30 20:51:34,55.93,0, , , , 
2019-09-30 21:51:34,54.39,0, , , , 
2019-09-30 22:51:34,53.31,0, , , , 
2019-09-30 23:51:34,51.07,0, , , , 
2019-10-01 00:51:34,50.61,0, , , , 
2019-10-01 01:51:34,50.61,0, , , , 
2019-10-01 02:51:34,50.84,0, , , , 
2019-10-01 03:51:34,50.45,0, , , , 
2019-10-01 04:51:34,50.06,0, , , , 
2019-10-01 05:51:34,49.91,0, , , , 
2019-10-01 06:51:34,49.76,1, , , , 
2019-10-01 07:51:34,47.75,38, , , , 
2019-10-01 08:51:34,48.37,253, , , , 
2019-10-01 09:51:34,50.22,507, , , , 
2019-10-01 10:51:34,50.14,422, , , , 
2019-10-01 11:51:34,50.45,371, , , , 
2019-10-01 12:51:34,49.52,284, , , , 
2019-10-01 13:51:34,49.60,229, , , , 
2019-10-01 14:51:34,50.14,174, , , , 
2019-10-01 15:51:34,48.52,112, , , , 
2019-10-01 16:51:34,48.21,100, , , , 
2019-10-01 17:51:34,47.13,36, , , , 
2019-10-01 18:51:34,46.67,1, , , , 
2019-10-01 19:51:34,46.05,0, , , , 
2019-10-01 20:51:34,45.97,0, , , , 
2019-10-01 21:51:34,45.20,0, , , , 
2019-10-01 22:51:34,44.66,0, , , , 
2019-10-01 23:51:34,43.50,0, , , , 
2019-10-02 00:51:34,42.88,0, , , , 
2019-10-02 01:51:34,42.50,0, , , , 
2019-10-02 02:51:34,42.19,0, , , , 
2019-10-02 03:51:34,42.03,0, , , , 
2019-10-02 04:51:34,41.80,0, , , , 
2019-10-02 05:51:34,41.49,0, , , , 
2019-10-02 06:51:34,41.34,3, , , , 
2019-10-02 07:51:34,41.80,102, , , , 
2019-10-02 08:51:34,44.04,329, , , , 
2019-10-02 09:51:34,46.67,725, , , , 
2019-10-02 10:51:34,47.21,538, , , , 
2019-10-02 11:51:34,53.08,802, , , , 
2019-10-02 12:51:34,57.32,878, , , , 
2019-10-02 13:51:34,57.94,473, , , , 
2019-10-02 14:51:34,59.56,618, , , , 
2019-10-02 15:51:34,74.70,"1,803", , , , 
2019-10-02 16:51:34,71.07,496, , , , 
2019-10-02 17:51:34,61.88,162, , , , 
2019-10-02 18:51:34,51.69,3, , , , 
2019-10-02 19:51:34,47.05,0, , , , 
2019-10-02 20:51:34,47.90,0, , , , 
2019-10-02 21:51:34,49.14,0, , , , 
2019-10-02 22:51:34,49.29,0, , , , 
2019-10-02 23:51:34,47.98,0, , , , 
2019-10-03 00:51:34,47.52,0, , , , 
2019-10-03 01:51:34,47.13,0, , , , 
2019-10-03 02:51:34,45.43,0, , , , 
2019-10-03 03:51:34,46.13,0, , , , 
2019-10-03 04:51:34,46.36,0, , , , 
2019-10-03 05:51:34,45.28,0, , , , 
2019-10-03 06:51:34,43.81,2, , , , 
2019-10-03 07:51:34,44.50,110, , , , 
2019-10-03 08:51:34,52.46,"1,000", , , , 
2019-10-03 09:51:34,62.11,"1,050", , , , 
2019-10-03 10:51:34,58.17,550, , , , 
2019-10-03 11:51:34,57.86,599, , , , 
2019-10-03 12:51:34,59.02,383, , , , 
2019-10-03 13:51:34,59.79,362, , , , 
2019-10-03 14:51:34,63.96,"1,064", , , , 
2019-10-03 15:51:34,81.11,"1,635", , , , 
2019-10-03 16:51:34,75.32,393, , , , 
2019-10-03 17:51:34,64.43,163, , , , 
2019-10-03 18:51:34,51.53,3, , , , 
2019-10-03 19:51:34,46.67,0, , , , 
2019-10-03 20:51:34,42.81,0, , , , 
2019-10-03 21:51:34,44.50,0, , , , 
2019-10-03 22:51:34,42.88,0, , , , 
2019-10-03 23:51:34,40.64,0, , , , 
2019-10-04 00:51:34,39.56,0, , , , 
2019-10-04 01:51:34,37.01,0, , , , 
2019-10-04 02:51:34,35.70,0, , , , 
2019-10-04 03:51:34,34.62,0, , , , 
2019-10-04 04:51:34,32.92,0, , , , 
2019-10-04 05:51:34,32.07,0, , , , 
2019-10-04 06:51:34,31.69,7, , , , 
2019-10-04 07:51:34,40.33,372, , , , 
2019-10-04 08:51:34,57.71,"2,946", , , , 
2019-10-04 09:51:34,87.13,"6,012", , , , 
2019-10-04 10:51:34,61.88,559, , , , 
2019-10-04 11:51:34,59.49,977, , , , 
2019-10-04 12:51:34,62.03,598, , , , 
2019-10-04 13:51:34,66.90,880, , , , 
2019-10-04 14:51:34,68.13,782, , , , 
2019-10-04 15:51:34,69.99,359, , , , 
2019-10-04 16:51:34,79.72,457, , , , 
2019-10-04 17:51:34,68.06,137, , , , 
2019-10-04 18:51:34,53.77,1, , , , 
2019-10-04 19:51:34,47.28,0, , , , 
2019-10-04 20:51:34,58.40,0, , , , 
2019-10-04 21:51:34,63.66,0, , , , 
2019-10-04 22:51:34,65.12,0, , , , 
2019-10-04 23:51:34,59.79,0, , , , 
2019-10-05 00:51:34,57.01,0, , , , 
2019-10-05 01:51:34,53.85,0, , , , 
2019-10-05 02:51:34,51.30,0, , , , 
2019-10-05 03:51:34,52.30,0, , , , 
2019-10-05 04:51:34,51.76,0, , , , 
2019-10-05 05:51:34,49.06,0, , , , 
2019-10-05 06:51:34,51.61,4, , , , 
2019-10-05 07:51:34,55.62,325, , , , 
2019-10-05 08:51:34,54.54,460, , , , 
2019-10-05 09:51:34,81.96,"5,997", , , , 
2019-10-05 10:51:34,66.82,"1,523", , , , 
2019-10-05 11:51:34,60.64,969, , , , 
2019-10-05 12:51:34,63.04,851, , , , 
2019-10-05 13:51:34,63.27,488, , , , 
2019-10-05 14:51:34,66.82,"1,233", , , , 
2019-10-05 15:51:34,76.86,"1,265", , , , 
2019-10-05 16:51:34,73.93,424, , , , 
2019-10-05 17:51:34,64.20,182, , , , 
2019-10-05 18:51:34,52.61,2, , , , 
2019-10-05 19:51:34,48.75,0, , , , 
2019-10-05 20:51:34,46.51,0, , , , 
2019-10-05 21:51:34,45.89,0, , , , 
2019-10-05 22:51:34,46.67,0, , , , 
2019-10-05 23:51:34,43.58,0, , , , 
2019-10-06 00:51:34,39.87,0, , , , 
2019-10-06 01:51:34,38.79,0, , , , 
2019-10-06 02:51:34,41.18,0, , , , 
2019-10-06 03:51:34,45.20,0, , , , 
2019-10-06 04:51:34,44.50,0, , , , 
2019-10-06 05:51:34,40.80,0, , , , 
2019-10-06 06:51:34,38.87,4, , , , 
2019-10-06 07:51:34,44.35,450, , , , 
2019-10-06 08:51:34,82.42,"4,085", , , , 
2019-10-06 09:51:34,86.36,"5,712", , , , 
2019-10-06 10:51:34,58.25,448, , , , 
2019-10-06 11:51:34,54.93,857, , , , 
2019-10-06 12:51:34,57.25,939, , , , 
2019-10-06 13:51:34,58.48,317, , , , 
2019-10-06 14:51:34,62.65,"1,368", , , , 
2019-10-06 15:51:34,74.16,"1,658", , , , 
